utilization_gpu,memory_used,memory_total,time,
1 , 10015 ,11264 , 1.1,
1 , 10127 ,11264 , 2.17,
1 , 10167 ,11264 , 3.23,
0 , 10217 ,11264 , 4.29,
0 , 10271 ,11264 , 5.35,
1 , 10359 ,11264 , 6.41,
1 , 10367 ,11264 , 7.47,
69 , 10367 ,11264 , 8.54,
17 , 10367 ,11264 , 9.6,
19 , 10367 ,11264 , 10.66,
22 , 10367 ,11264 , 11.72,
24 , 10367 ,11264 , 12.78,
22 , 10367 ,11264 , 13.84,
24 , 10367 ,11264 , 14.9,
22 , 10367 ,11264 , 15.96,
24 , 10367 ,11264 , 17.01,
21 , 10367 ,11264 , 18.07,
24 , 10367 ,11264 , 19.14,
22 , 10367 ,11264 , 20.19,
21 , 10367 ,11264 , 21.25,
23 , 10367 ,11264 , 22.31,
24 , 10367 ,11264 , 23.37,
