utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.78 W,30.4,97.2,
0 %, 3 MiB, 24576 MiB,15.74 W,31.7,98.24,
0 %, 3 MiB, 24576 MiB,15.25 W,32.4,99.29,
0 %, 3 MiB, 24576 MiB,15.13 W,35.0,100.33,
0 %, 3 MiB, 24576 MiB,15.61 W,37.7,101.37,
0 %, 3 MiB, 24576 MiB,15.52 W,37.7,102.42,
0 %, 3 MiB, 24576 MiB,15.67 W,35.7,103.47,
0 %, 3 MiB, 24576 MiB,15.68 W,32.9,104.51,
0 %, 3 MiB, 24576 MiB,15.70 W,35.5,105.55,
0 %, 3 MiB, 24576 MiB,14.42 W,33.9,106.6,
0 %, 3 MiB, 24576 MiB,15.72 W,22.4,107.64,
0 %, 3 MiB, 24576 MiB,15.95 W,37.5,108.69,
0 %, 3 MiB, 24576 MiB,15.18 W,36.2,109.73,
0 %, 3 MiB, 24576 MiB,15.63 W,25.2,110.78,
0 %, 3 MiB, 24576 MiB,15.34 W,37.4,111.82,
0 %, 3 MiB, 24576 MiB,15.69 W,37.4,112.86,
0 %, 3 MiB, 24576 MiB,15.72 W,31.8,113.91,
0 %, 3 MiB, 24576 MiB,15.54 W,30.2,114.95,
0 %, 3 MiB, 24576 MiB,15.60 W,36.2,115.99,
0 %, 3 MiB, 24576 MiB,13.67 W,36.6,117.03,
0 %, 3 MiB, 24576 MiB,15.60 W,18.6,118.08,
0 %, 3 MiB, 24576 MiB,16.02 W,39.4,119.13,
0 %, 3 MiB, 24576 MiB,15.55 W,33.9,120.17,
0 %, 3 MiB, 24576 MiB,16.10 W,36.6,121.21,
0 %, 3 MiB, 24576 MiB,16.17 W,39.6,122.26,
0 %, 3 MiB, 24576 MiB,15.53 W,31.9,123.3,
0 %, 3 MiB, 24576 MiB,14.26 W,28.1,124.34,
0 %, 3 MiB, 24576 MiB,14.94 W,42.7,125.39,
0 %, 3 MiB, 24576 MiB,15.61 W,27.3,126.43,
0 %, 3 MiB, 24576 MiB,15.85 W,37.2,127.47,
0 %, 3 MiB, 24576 MiB,15.90 W,37.5,128.52,
0 %, 3 MiB, 24576 MiB,15.56 W,35.8,129.57,
0 %, 3 MiB, 24576 MiB,15.64 W,42.7,130.61,
0 %, 3 MiB, 24576 MiB,14.69 W,29.2,131.65,
0 %, 3 MiB, 24576 MiB,15.65 W,24.8,132.69,
0 %, 3 MiB, 24576 MiB,15.47 W,30.2,133.74,
0 %, 3 MiB, 24576 MiB,15.26 W,38.2,134.79,
0 %, 3 MiB, 24576 MiB,15.63 W,27.8,135.84,
0 %, 3 MiB, 24576 MiB,15.44 W,29.0,136.89,
0 %, 3 MiB, 24576 MiB,15.78 W,30.4,137.93,
0 %, 3 MiB, 24576 MiB,15.84 W,31.6,138.98,
0 %, 3 MiB, 24576 MiB,14.39 W,38.7,140.02,
0 %, 3 MiB, 24576 MiB,15.60 W,34.1,141.07,
0 %, 3 MiB, 24576 MiB,15.83 W,31.0,142.11,
0 %, 3 MiB, 24576 MiB,15.81 W,23.0,143.15,
0 %, 3 MiB, 24576 MiB,15.51 W,28.2,144.2,
0 %, 3 MiB, 24576 MiB,15.97 W,42.1,145.25,
0 %, 3 MiB, 24576 MiB,15.90 W,26.5,146.3,
0 %, 3 MiB, 24576 MiB,15.89 W,36.9,147.34,
0 %, 3 MiB, 24576 MiB,15.80 W,37.6,148.38,
0 %, 3 MiB, 24576 MiB,15.60 W,23.7,149.43,
0 %, 3 MiB, 24576 MiB,15.64 W,38.3,150.48,
0 %, 3 MiB, 24576 MiB,15.39 W,36.6,151.52,
0 %, 3 MiB, 24576 MiB,15.61 W,37.1,152.56,
0 %, 3 MiB, 24576 MiB,15.73 W,30.9,153.61,
0 %, 3 MiB, 24576 MiB,15.60 W,35.6,154.65,
0 %, 3 MiB, 24576 MiB,14.70 W,36.1,155.69,
0 %, 3 MiB, 24576 MiB,15.91 W,21.7,156.74,
0 %, 3 MiB, 24576 MiB,15.38 W,38.3,157.8,
0 %, 3 MiB, 24576 MiB,15.61 W,30.4,158.84,
0 %, 3 MiB, 24576 MiB,15.60 W,24.5,159.89,
0 %, 3 MiB, 24576 MiB,14.54 W,37.9,160.93,
0 %, 3 MiB, 24576 MiB,15.72 W,38.8,161.97,
0 %, 3 MiB, 24576 MiB,14.46 W,38.7,163.02,
