utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
7 %, 23633 MiB, 24576 MiB,61.37 W,34.0,98.68,
7 %, 23633 MiB, 24576 MiB,61.21 W,21.8,99.76,
7 %, 23633 MiB, 24576 MiB,60.80 W,37.6,100.84,
7 %, 23633 MiB, 24576 MiB,59.57 W,31.4,101.95,
7 %, 23633 MiB, 24576 MiB,60.27 W,24.3,103.03,
7 %, 23633 MiB, 24576 MiB,60.34 W,39.0,104.11,
6 %, 23633 MiB, 24576 MiB,61.56 W,35.7,105.2,
6 %, 23633 MiB, 24576 MiB,61.60 W,37.7,106.28,
7 %, 23633 MiB, 24576 MiB,60.13 W,36.6,107.36,
7 %, 23633 MiB, 24576 MiB,60.07 W,34.5,108.45,
7 %, 23633 MiB, 24576 MiB,60.33 W,33.2,109.53,
7 %, 23633 MiB, 24576 MiB,61.59 W,37.2,110.62,
6 %, 23633 MiB, 24576 MiB,61.28 W,36.0,111.72,
6 %, 23633 MiB, 24576 MiB,61.36 W,33.9,112.81,
7 %, 23633 MiB, 24576 MiB,61.05 W,34.5,113.89,
7 %, 23633 MiB, 24576 MiB,59.88 W,37.3,114.99,
7 %, 23633 MiB, 24576 MiB,60.16 W,33.3,116.07,
7 %, 23633 MiB, 24576 MiB,60.51 W,39.2,117.15,
6 %, 23633 MiB, 24576 MiB,61.58 W,34.5,118.24,
7 %, 23633 MiB, 24576 MiB,60.72 W,29.7,119.33,
7 %, 23633 MiB, 24576 MiB,60.30 W,42.0,120.41,
7 %, 23633 MiB, 24576 MiB,59.98 W,30.5,121.49,
7 %, 23633 MiB, 24576 MiB,60.08 W,33.2,122.58,
7 %, 23633 MiB, 24576 MiB,61.54 W,22.2,123.66,
7 %, 23633 MiB, 24576 MiB,60.64 W,23.8,124.74,
7 %, 23633 MiB, 24576 MiB,60.42 W,37.6,125.83,
7 %, 23633 MiB, 24576 MiB,60.03 W,37.7,126.91,
6 %, 23633 MiB, 24576 MiB,61.38 W,30.0,128.0,
7 %, 23633 MiB, 24576 MiB,61.89 W,39.9,129.08,
7 %, 23633 MiB, 24576 MiB,61.12 W,33.9,130.16,
7 %, 23633 MiB, 24576 MiB,60.11 W,33.1,131.24,
6 %, 23633 MiB, 24576 MiB,60.35 W,39.3,132.33,
6 %, 23633 MiB, 24576 MiB,61.94 W,29.7,133.41,
7 %, 23633 MiB, 24576 MiB,61.37 W,34.3,134.5,
7 %, 23633 MiB, 24576 MiB,60.62 W,31.7,135.58,
