utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,10.93 W,11.8,96.2,
0 %, 3 MiB, 24576 MiB,10.70 W,11.9,97.24,
0 %, 3 MiB, 24576 MiB,10.15 W,11.8,98.27,
0 %, 3 MiB, 24576 MiB,10.34 W,12.7,99.3,
0 %, 3 MiB, 24576 MiB,10.84 W,11.6,100.34,
0 %, 3 MiB, 24576 MiB,10.59 W,11.7,101.37,
0 %, 3 MiB, 24576 MiB,10.49 W,11.9,102.4,
0 %, 3 MiB, 24576 MiB,10.25 W,11.9,103.44,
0 %, 3 MiB, 24576 MiB,10.39 W,11.8,104.47,
0 %, 3 MiB, 24576 MiB,10.91 W,11.9,105.5,
0 %, 3 MiB, 24576 MiB,10.95 W,12.0,106.53,
0 %, 3 MiB, 24576 MiB,10.54 W,11.5,107.57,
0 %, 3 MiB, 24576 MiB,10.28 W,12.2,108.6,
0 %, 3 MiB, 24576 MiB,9.97 W,12.2,109.64,
0 %, 3 MiB, 24576 MiB,10.16 W,11.8,110.67,
0 %, 3 MiB, 24576 MiB,10.25 W,11.8,111.71,
0 %, 3 MiB, 24576 MiB,10.29 W,11.7,112.74,
0 %, 3 MiB, 24576 MiB,10.11 W,11.5,113.77,
0 %, 3 MiB, 24576 MiB,10.52 W,12.4,114.81,
0 %, 3 MiB, 24576 MiB,10.64 W,11.8,115.84,
0 %, 3 MiB, 24576 MiB,10.33 W,13.5,116.87,
0 %, 3 MiB, 24576 MiB,9.78 W,13.5,117.91,
0 %, 3 MiB, 24576 MiB,10.02 W,12.6,118.95,
0 %, 3 MiB, 24576 MiB,10.09 W,12.2,119.98,
0 %, 3 MiB, 24576 MiB,10.45 W,11.7,121.01,
0 %, 3 MiB, 24576 MiB,10.35 W,11.7,122.04,
0 %, 3 MiB, 24576 MiB,10.17 W,11.5,123.08,
0 %, 3 MiB, 24576 MiB,10.20 W,12.1,124.12,
0 %, 3 MiB, 24576 MiB,10.21 W,11.7,125.15,
0 %, 3 MiB, 24576 MiB,10.83 W,11.8,126.18,
0 %, 3 MiB, 24576 MiB,10.62 W,12.0,127.22,
0 %, 3 MiB, 24576 MiB,10.26 W,11.7,128.25,
0 %, 3 MiB, 24576 MiB,10.65 W,12.3,129.28,
0 %, 3 MiB, 24576 MiB,10.61 W,12.0,130.31,
0 %, 3 MiB, 24576 MiB,10.28 W,11.8,131.35,
0 %, 3 MiB, 24576 MiB,10.44 W,11.9,132.38,
0 %, 3 MiB, 24576 MiB,10.59 W,11.9,133.42,
0 %, 3 MiB, 24576 MiB,11.26 W,12.3,134.46,
0 %, 3 MiB, 24576 MiB,10.94 W,12.0,135.49,
0 %, 3 MiB, 24576 MiB,10.55 W,11.6,136.53,
0 %, 3 MiB, 24576 MiB,10.25 W,11.9,137.56,
0 %, 3 MiB, 24576 MiB,10.67 W,11.8,138.59,
0 %, 3 MiB, 24576 MiB,10.83 W,12.3,139.62,
0 %, 3 MiB, 24576 MiB,10.68 W,11.5,140.66,
0 %, 3 MiB, 24576 MiB,10.15 W,11.9,141.69,
0 %, 3 MiB, 24576 MiB,10.51 W,11.7,142.73,
0 %, 3 MiB, 24576 MiB,10.11 W,11.5,143.76,
0 %, 3 MiB, 24576 MiB,10.17 W,13.1,144.8,
0 %, 3 MiB, 24576 MiB,10.41 W,11.7,145.83,
