utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
3 %, 23633 MiB, 24576 MiB,60.22 W,11.0,97.71,
3 %, 23633 MiB, 24576 MiB,59.63 W,10.8,98.78,
3 %, 23633 MiB, 24576 MiB,59.85 W,10.8,99.86,
3 %, 23633 MiB, 24576 MiB,60.50 W,10.8,100.93,
3 %, 23633 MiB, 24576 MiB,60.22 W,11.4,102.0,
3 %, 23633 MiB, 24576 MiB,59.94 W,10.8,103.07,
3 %, 23633 MiB, 24576 MiB,60.33 W,11.0,104.14,
3 %, 23633 MiB, 24576 MiB,60.27 W,10.9,105.21,
3 %, 23633 MiB, 24576 MiB,59.74 W,10.8,106.28,
3 %, 23633 MiB, 24576 MiB,59.92 W,10.9,107.36,
3 %, 23633 MiB, 24576 MiB,60.30 W,10.9,108.43,
3 %, 23633 MiB, 24576 MiB,59.83 W,11.0,109.5,
3 %, 23633 MiB, 24576 MiB,59.66 W,11.1,110.58,
3 %, 23633 MiB, 24576 MiB,59.92 W,10.8,111.65,
3 %, 23633 MiB, 24576 MiB,59.94 W,10.8,112.72,
3 %, 23633 MiB, 24576 MiB,59.62 W,10.8,113.79,
3 %, 23633 MiB, 24576 MiB,60.21 W,10.9,114.86,
3 %, 23633 MiB, 24576 MiB,59.94 W,10.9,115.94,
3 %, 23633 MiB, 24576 MiB,59.77 W,11.8,117.01,
3 %, 23633 MiB, 24576 MiB,59.77 W,13.7,118.08,
3 %, 23633 MiB, 24576 MiB,59.95 W,13.1,119.16,
3 %, 23633 MiB, 24576 MiB,59.94 W,13.1,120.25,
3 %, 23633 MiB, 24576 MiB,59.44 W,13.1,121.34,
3 %, 23633 MiB, 24576 MiB,59.31 W,13.0,122.43,
3 %, 23633 MiB, 24576 MiB,59.82 W,13.0,123.5,
3 %, 23633 MiB, 24576 MiB,59.68 W,13.6,124.57,
3 %, 23633 MiB, 24576 MiB,59.64 W,13.3,125.65,
3 %, 23633 MiB, 24576 MiB,59.56 W,14.1,126.72,
3 %, 23633 MiB, 24576 MiB,60.06 W,13.2,127.79,
3 %, 23633 MiB, 24576 MiB,59.69 W,13.2,128.87,
3 %, 23633 MiB, 24576 MiB,59.93 W,13.5,129.94,
3 %, 23633 MiB, 24576 MiB,59.82 W,12.9,131.01,
3 %, 23633 MiB, 24576 MiB,59.81 W,13.1,132.08,
3 %, 23633 MiB, 24576 MiB,59.62 W,13.8,133.17,
3 %, 23633 MiB, 24576 MiB,60.03 W,13.0,134.24,
3 %, 23633 MiB, 24576 MiB,59.89 W,12.9,135.31,
3 %, 23633 MiB, 24576 MiB,59.75 W,13.0,136.38,
3 %, 23633 MiB, 24576 MiB,60.18 W,12.9,137.45,
3 %, 23633 MiB, 24576 MiB,59.96 W,13.2,138.55,
3 %, 23633 MiB, 24576 MiB,59.82 W,13.7,139.62,
3 %, 23633 MiB, 24576 MiB,59.82 W,12.4,140.69,
3 %, 23633 MiB, 24576 MiB,60.24 W,10.8,141.76,
3 %, 23633 MiB, 24576 MiB,60.14 W,10.8,142.84,
3 %, 23633 MiB, 24576 MiB,59.91 W,11.1,143.91,
3 %, 23633 MiB, 24576 MiB,59.90 W,10.9,144.99,
3 %, 23633 MiB, 24576 MiB,60.08 W,11.0,146.06,
3 %, 23633 MiB, 24576 MiB,60.09 W,10.7,147.13,
3 %, 23633 MiB, 24576 MiB,59.76 W,11.5,148.22,
3 %, 23633 MiB, 24576 MiB,60.24 W,11.1,149.28,
3 %, 23633 MiB, 24576 MiB,60.12 W,10.9,150.36,
3 %, 23633 MiB, 24576 MiB,59.74 W,10.8,151.43,
3 %, 23633 MiB, 24576 MiB,60.03 W,10.8,152.5,
3 %, 23633 MiB, 24576 MiB,59.84 W,11.0,153.58,
3 %, 23633 MiB, 24576 MiB,59.62 W,11.6,154.65,
3 %, 23633 MiB, 24576 MiB,59.70 W,11.0,155.72,
3 %, 23633 MiB, 24576 MiB,60.08 W,10.8,156.79,
3 %, 23633 MiB, 24576 MiB,59.64 W,10.9,157.88,
3 %, 23633 MiB, 24576 MiB,59.91 W,10.6,158.95,
3 %, 23633 MiB, 24576 MiB,60.35 W,10.8,160.02,
3 %, 23633 MiB, 24576 MiB,60.32 W,10.8,161.1,
3 %, 23633 MiB, 24576 MiB,60.25 W,11.0,162.18,
3 %, 23633 MiB, 24576 MiB,60.34 W,11.1,163.25,
3 %, 23633 MiB, 24576 MiB,60.20 W,5.7,164.32,
3 %, 23633 MiB, 24576 MiB,59.89 W,10.7,165.39,
3 %, 23633 MiB, 24576 MiB,59.77 W,11.1,166.46,
3 %, 23633 MiB, 24576 MiB,60.72 W,10.8,167.54,
3 %, 23633 MiB, 24576 MiB,60.04 W,11.0,168.62,
3 %, 23633 MiB, 24576 MiB,59.65 W,11.8,169.72,
3 %, 23633 MiB, 24576 MiB,59.83 W,10.7,170.79,
3 %, 23633 MiB, 24576 MiB,60.20 W,11.0,171.86,
3 %, 23633 MiB, 24576 MiB,60.17 W,10.9,172.93,
3 %, 23633 MiB, 24576 MiB,59.83 W,10.6,174.0,
3 %, 23633 MiB, 24576 MiB,60.26 W,11.1,175.07,
3 %, 23633 MiB, 24576 MiB,59.99 W,10.9,176.16,
3 %, 23633 MiB, 24576 MiB,60.10 W,10.9,177.23,
3 %, 23633 MiB, 24576 MiB,59.76 W,12.0,178.31,
3 %, 23633 MiB, 24576 MiB,59.99 W,13.1,179.38,
3 %, 23633 MiB, 24576 MiB,60.09 W,13.3,180.45,
3 %, 23633 MiB, 24576 MiB,59.79 W,13.1,181.52,
3 %, 23633 MiB, 24576 MiB,60.11 W,13.0,182.59,
3 %, 23633 MiB, 24576 MiB,60.24 W,13.0,183.67,
3 %, 23633 MiB, 24576 MiB,60.21 W,13.5,184.74,
3 %, 23633 MiB, 24576 MiB,60.50 W,11.7,185.81,
3 %, 23633 MiB, 24576 MiB,60.39 W,11.4,186.88,
3 %, 23633 MiB, 24576 MiB,60.26 W,10.8,187.95,
3 %, 23633 MiB, 24576 MiB,60.10 W,10.9,189.02,
3 %, 23633 MiB, 24576 MiB,60.43 W,10.8,190.09,
