utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.97 W,44.9,96.64,
0 %, 3 MiB, 24576 MiB,15.67 W,43.3,97.68,
0 %, 3 MiB, 24576 MiB,15.49 W,40.0,98.72,
0 %, 3 MiB, 24576 MiB,15.57 W,45.0,99.76,
0 %, 3 MiB, 24576 MiB,15.70 W,22.9,100.8,
0 %, 3 MiB, 24576 MiB,15.81 W,29.1,101.84,
0 %, 3 MiB, 24576 MiB,15.85 W,26.1,102.88,
0 %, 3 MiB, 24576 MiB,15.48 W,12.4,103.92,
0 %, 3 MiB, 24576 MiB,15.56 W,33.0,104.96,
0 %, 3 MiB, 24576 MiB,15.47 W,49.8,106.0,
0 %, 3 MiB, 24576 MiB,15.57 W,46.2,107.04,
0 %, 3 MiB, 24576 MiB,15.59 W,35.0,108.08,
0 %, 3 MiB, 24576 MiB,14.87 W,45.6,109.13,
0 %, 3 MiB, 24576 MiB,15.53 W,43.0,110.17,
0 %, 3 MiB, 24576 MiB,15.98 W,45.8,111.22,
0 %, 3 MiB, 24576 MiB,16.64 W,36.1,112.26,
0 %, 3 MiB, 24576 MiB,16.60 W,30.7,113.29,
0 %, 3 MiB, 24576 MiB,15.65 W,39.8,114.33,
0 %, 3 MiB, 24576 MiB,15.58 W,36.8,115.37,
0 %, 3 MiB, 24576 MiB,15.58 W,25.1,116.41,
0 %, 3 MiB, 24576 MiB,13.94 W,26.1,117.45,
0 %, 3 MiB, 24576 MiB,15.59 W,22.5,118.49,
0 %, 3 MiB, 24576 MiB,15.59 W,35.0,119.52,
0 %, 3 MiB, 24576 MiB,15.54 W,30.8,120.56,
0 %, 3 MiB, 24576 MiB,15.50 W,38.8,121.6,
0 %, 3 MiB, 24576 MiB,15.89 W,50.3,122.63,
0 %, 3 MiB, 24576 MiB,15.74 W,34.0,123.67,
0 %, 3 MiB, 24576 MiB,15.14 W,39.7,124.71,
0 %, 3 MiB, 24576 MiB,13.70 W,46.7,125.74,
0 %, 3 MiB, 24576 MiB,15.70 W,44.6,126.78,
0 %, 3 MiB, 24576 MiB,13.40 W,41.9,127.82,
0 %, 3 MiB, 24576 MiB,15.75 W,37.2,128.85,
0 %, 3 MiB, 24576 MiB,15.54 W,43.2,129.91,
0 %, 3 MiB, 24576 MiB,15.82 W,38.4,130.95,
0 %, 3 MiB, 24576 MiB,14.73 W,37.5,131.99,
0 %, 3 MiB, 24576 MiB,15.58 W,23.9,133.03,
0 %, 3 MiB, 24576 MiB,15.77 W,24.6,134.07,
0 %, 3 MiB, 24576 MiB,15.65 W,19.2,135.1,
0 %, 3 MiB, 24576 MiB,15.63 W,22.6,136.14,
0 %, 3 MiB, 24576 MiB,15.53 W,20.3,137.18,
0 %, 3 MiB, 24576 MiB,14.78 W,25.6,138.22,
0 %, 3 MiB, 24576 MiB,14.28 W,21.8,139.25,
0 %, 3 MiB, 24576 MiB,15.41 W,45.8,140.29,
0 %, 3 MiB, 24576 MiB,15.29 W,39.0,141.33,
0 %, 3 MiB, 24576 MiB,16.04 W,40.2,142.37,
0 %, 3 MiB, 24576 MiB,16.09 W,50.7,143.41,
0 %, 3 MiB, 24576 MiB,16.12 W,39.5,144.45,
0 %, 3 MiB, 24576 MiB,15.62 W,44.2,145.49,
0 %, 3 MiB, 24576 MiB,15.52 W,44.4,146.52,
0 %, 3 MiB, 24576 MiB,14.20 W,47.6,147.56,
0 %, 3 MiB, 24576 MiB,15.58 W,32.4,148.6,
0 %, 3 MiB, 24576 MiB,15.47 W,43.5,149.64,
0 %, 3 MiB, 24576 MiB,15.08 W,33.1,150.67,
0 %, 3 MiB, 24576 MiB,15.71 W,32.2,151.71,
0 %, 3 MiB, 24576 MiB,13.58 W,26.1,152.75,
0 %, 3 MiB, 24576 MiB,15.73 W,23.4,153.79,
0 %, 3 MiB, 24576 MiB,15.76 W,21.6,154.82,
0 %, 3 MiB, 24576 MiB,15.71 W,26.6,155.86,
0 %, 3 MiB, 24576 MiB,15.63 W,42.7,156.9,
0 %, 3 MiB, 24576 MiB,15.76 W,46.4,157.94,
0 %, 3 MiB, 24576 MiB,15.22 W,41.3,158.98,
0 %, 3 MiB, 24576 MiB,15.91 W,44.1,160.01,
0 %, 3 MiB, 24576 MiB,15.53 W,50.2,161.05,
0 %, 3 MiB, 24576 MiB,15.59 W,40.0,162.09,
0 %, 3 MiB, 24576 MiB,14.94 W,37.9,163.12,
0 %, 3 MiB, 24576 MiB,15.64 W,39.6,164.17,
0 %, 3 MiB, 24576 MiB,15.65 W,40.6,165.21,
0 %, 3 MiB, 24576 MiB,15.56 W,43.0,166.25,
0 %, 3 MiB, 24576 MiB,15.56 W,49.8,167.29,
0 %, 3 MiB, 24576 MiB,13.45 W,38.3,168.33,
0 %, 3 MiB, 24576 MiB,16.16 W,26.5,169.37,
0 %, 3 MiB, 24576 MiB,15.99 W,19.2,170.41,
0 %, 3 MiB, 24576 MiB,15.52 W,22.6,171.45,
0 %, 3 MiB, 24576 MiB,15.63 W,24.2,172.48,
0 %, 3 MiB, 24576 MiB,15.73 W,24.2,173.52,
0 %, 3 MiB, 24576 MiB,15.58 W,11.9,174.56,
0 %, 3 MiB, 24576 MiB,15.76 W,24.6,175.6,
0 %, 3 MiB, 24576 MiB,15.75 W,38.7,176.64,
0 %, 3 MiB, 24576 MiB,15.51 W,38.0,177.68,
0 %, 3 MiB, 24576 MiB,15.44 W,29.7,178.72,
0 %, 3 MiB, 24576 MiB,15.44 W,39.2,179.76,
0 %, 3 MiB, 24576 MiB,16.24 W,34.4,180.8,
0 %, 3 MiB, 24576 MiB,16.11 W,36.8,181.84,
0 %, 3 MiB, 24576 MiB,15.24 W,37.3,182.88,
0 %, 3 MiB, 24576 MiB,15.70 W,24.2,183.92,
0 %, 3 MiB, 24576 MiB,15.49 W,43.0,184.95,
0 %, 3 MiB, 24576 MiB,15.72 W,36.4,185.99,
