utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 3 MiB, 24576 MiB,12.87 W,19.7,99.5,
0 , 3 MiB, 24576 MiB,12.81 W,22.9,100.53,
0 , 3 MiB, 24576 MiB,12.52 W,20.1,101.57,
0 , 3 MiB, 24576 MiB,12.97 W,22.1,102.61,
0 , 3 MiB, 24576 MiB,12.87 W,19.7,103.64,
0 , 3 MiB, 24576 MiB,13.41 W,23.7,104.67,
0 , 3 MiB, 24576 MiB,12.82 W,19.9,105.71,
0 , 3 MiB, 24576 MiB,12.53 W,20.2,106.74,
0 , 3 MiB, 24576 MiB,13.27 W,20.9,107.78,
0 , 3 MiB, 24576 MiB,12.61 W,20.6,108.81,
0 , 3 MiB, 24576 MiB,19.19 W,22.2,109.85,
0 , 3 MiB, 24576 MiB,13.33 W,20.0,110.88,
0 , 3 MiB, 24576 MiB,12.76 W,22.2,111.92,
0 , 3 MiB, 24576 MiB,13.03 W,19.5,112.95,
0 , 3 MiB, 24576 MiB,12.72 W,22.6,113.99,
0 , 3 MiB, 24576 MiB,13.27 W,20.5,115.02,
0 , 3 MiB, 24576 MiB,12.99 W,21.7,116.06,
0 , 3 MiB, 24576 MiB,13.14 W,21.1,117.09,
0 , 3 MiB, 24576 MiB,12.56 W,21.1,118.13,
0 , 3 MiB, 24576 MiB,13.02 W,21.8,119.16,
0 , 3 MiB, 24576 MiB,12.80 W,21.6,120.2,
0 , 3 MiB, 24576 MiB,13.17 W,21.5,121.23,
0 , 3 MiB, 24576 MiB,13.10 W,21.3,122.27,
0 , 3 MiB, 24576 MiB,13.47 W,21.8,123.3,
0 , 3 MiB, 24576 MiB,13.27 W,21.6,124.34,
0 , 3 MiB, 24576 MiB,12.97 W,23.0,125.37,
0 , 3 MiB, 24576 MiB,12.94 W,22.8,126.41,
0 , 3 MiB, 24576 MiB,12.65 W,19.6,127.45,
0 , 3 MiB, 24576 MiB,12.86 W,22.5,128.48,
0 , 3 MiB, 24576 MiB,12.78 W,19.5,129.52,
