utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.90 W,12.0,99.71,
0 , 3 MiB, 24576 MiB,10.94 W,13.6,100.75,
0 , 3 MiB, 24576 MiB,10.37 W,13.5,101.79,
0 , 3 MiB, 24576 MiB,10.45 W,15.2,102.83,
0 , 3 MiB, 24576 MiB,10.93 W,15.3,103.87,
0 , 3 MiB, 24576 MiB,10.62 W,13.9,104.91,
0 , 3 MiB, 24576 MiB,9.84 W,11.2,105.95,
0 , 3 MiB, 24576 MiB,10.38 W,11.8,106.98,
0 , 3 MiB, 24576 MiB,10.29 W,14.3,108.02,
0 , 3 MiB, 24576 MiB,10.67 W,15.0,109.06,
0 , 3 MiB, 24576 MiB,10.71 W,14.5,110.1,
0 , 3 MiB, 24576 MiB,10.52 W,14.6,111.14,
0 , 3 MiB, 24576 MiB,10.04 W,14.2,112.17,
0 , 3 MiB, 24576 MiB,10.49 W,13.1,113.21,
0 , 3 MiB, 24576 MiB,10.19 W,12.6,114.25,
0 , 3 MiB, 24576 MiB,10.25 W,14.8,115.29,
0 , 3 MiB, 24576 MiB,10.35 W,15.8,116.33,
0 , 3 MiB, 24576 MiB,10.82 W,13.8,117.37,
0 , 3 MiB, 24576 MiB,10.51 W,14.9,118.41,
0 , 3 MiB, 24576 MiB,10.32 W,13.3,119.45,
0 , 3 MiB, 24576 MiB,10.46 W,10.7,120.48,
0 , 3 MiB, 24576 MiB,10.12 W,12.9,121.53,
0 , 3 MiB, 24576 MiB,10.55 W,15.1,122.56,
0 , 3 MiB, 24576 MiB,9.95 W,14.9,123.6,
0 , 3 MiB, 24576 MiB,10.52 W,14.4,124.64,
0 , 3 MiB, 24576 MiB,10.02 W,12.9,125.68,
0 , 3 MiB, 24576 MiB,10.91 W,14.9,126.72,
0 , 3 MiB, 24576 MiB,10.43 W,11.9,127.76,
0 , 3 MiB, 24576 MiB,10.52 W,12.9,128.79,
0 , 3 MiB, 24576 MiB,10.61 W,13.3,129.83,
0 , 3 MiB, 24576 MiB,10.82 W,14.3,130.87,
0 , 3 MiB, 24576 MiB,10.39 W,15.6,131.91,
0 , 3 MiB, 24576 MiB,10.19 W,14.5,132.95,
0 , 3 MiB, 24576 MiB,10.20 W,14.5,133.98,
0 , 3 MiB, 24576 MiB,10.48 W,11.1,135.02,
0 , 3 MiB, 24576 MiB,9.94 W,11.2,136.06,
0 , 3 MiB, 24576 MiB,10.14 W,14.8,137.1,
0 , 3 MiB, 24576 MiB,10.67 W,16.0,138.14,
0 , 3 MiB, 24576 MiB,9.94 W,14.6,139.18,
0 , 3 MiB, 24576 MiB,10.45 W,14.3,140.22,
0 , 3 MiB, 24576 MiB,10.43 W,15.4,141.26,
0 , 3 MiB, 24576 MiB,10.65 W,12.2,142.3,
0 , 3 MiB, 24576 MiB,10.87 W,11.6,143.33,
0 , 3 MiB, 24576 MiB,10.73 W,13.7,144.37,
0 , 3 MiB, 24576 MiB,10.52 W,14.3,145.41,
0 , 3 MiB, 24576 MiB,10.14 W,14.1,146.45,
0 , 3 MiB, 24576 MiB,10.24 W,14.3,147.49,
0 , 3 MiB, 24576 MiB,10.66 W,14.5,148.53,
0 , 3 MiB, 24576 MiB,10.00 W,12.3,149.57,
0 , 3 MiB, 24576 MiB,10.14 W,10.9,150.61,
0 , 3 MiB, 24576 MiB,10.52 W,12.3,151.64,
0 , 3 MiB, 24576 MiB,10.02 W,14.2,152.68,
0 , 3 MiB, 24576 MiB,10.22 W,15.0,153.72,
0 , 3 MiB, 24576 MiB,10.25 W,14.9,154.76,
0 , 3 MiB, 24576 MiB,10.15 W,14.4,155.79,
0 , 3 MiB, 24576 MiB,9.94 W,13.6,156.83,
0 , 3 MiB, 24576 MiB,10.43 W,12.4,157.87,
0 , 3 MiB, 24576 MiB,10.58 W,13.2,158.91,
0 , 3 MiB, 24576 MiB,10.28 W,13.7,159.95,
0 , 3 MiB, 24576 MiB,9.92 W,14.3,160.99,
0 , 3 MiB, 24576 MiB,10.09 W,15.2,162.03,
0 , 3 MiB, 24576 MiB,10.07 W,14.5,163.07,
0 , 3 MiB, 24576 MiB,10.23 W,12.3,164.1,
0 , 3 MiB, 24576 MiB,10.33 W,11.8,165.14,
0 , 3 MiB, 24576 MiB,10.09 W,15.2,166.18,
0 , 3 MiB, 24576 MiB,10.13 W,15.0,167.22,
0 , 3 MiB, 24576 MiB,10.02 W,14.7,168.25,
