utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,12.19 W,43.9,96.63,
0 %, 3 MiB, 24576 MiB,11.25 W,50.7,97.67,
0 %, 3 MiB, 24576 MiB,12.45 W,33.5,98.71,
0 %, 3 MiB, 24576 MiB,12.31 W,41.6,99.75,
0 %, 3 MiB, 24576 MiB,12.48 W,32.2,100.78,
0 %, 3 MiB, 24576 MiB,12.05 W,28.4,101.82,
0 %, 3 MiB, 24576 MiB,11.59 W,34.3,102.86,
0 %, 3 MiB, 24576 MiB,11.92 W,49.6,103.9,
0 %, 3 MiB, 24576 MiB,12.10 W,43.4,104.94,
0 %, 3 MiB, 24576 MiB,11.68 W,47.2,105.98,
0 %, 3 MiB, 24576 MiB,11.88 W,34.3,107.01,
0 %, 3 MiB, 24576 MiB,11.87 W,33.2,108.05,
0 %, 3 MiB, 24576 MiB,12.28 W,45.3,109.09,
0 %, 3 MiB, 24576 MiB,12.57 W,40.4,110.13,
0 %, 3 MiB, 24576 MiB,12.22 W,38.5,111.16,
0 %, 3 MiB, 24576 MiB,12.33 W,46.3,112.2,
0 %, 3 MiB, 24576 MiB,12.66 W,48.2,113.23,
0 %, 3 MiB, 24576 MiB,11.89 W,43.2,114.27,
0 %, 3 MiB, 24576 MiB,12.36 W,43.0,115.31,
0 %, 3 MiB, 24576 MiB,12.19 W,28.5,116.35,
0 %, 3 MiB, 24576 MiB,12.87 W,23.0,117.38,
0 %, 3 MiB, 24576 MiB,12.93 W,21.7,118.42,
0 %, 3 MiB, 24576 MiB,12.72 W,23.4,119.46,
0 %, 3 MiB, 24576 MiB,12.02 W,21.1,120.5,
0 %, 3 MiB, 24576 MiB,11.90 W,26.9,121.53,
0 %, 3 MiB, 24576 MiB,11.69 W,31.1,122.57,
0 %, 3 MiB, 24576 MiB,11.54 W,41.9,123.61,
0 %, 3 MiB, 24576 MiB,11.71 W,46.7,124.64,
0 %, 3 MiB, 24576 MiB,12.31 W,41.8,125.68,
0 %, 3 MiB, 24576 MiB,12.13 W,38.4,126.71,
0 %, 3 MiB, 24576 MiB,17.72 W,45.7,127.75,
0 %, 3 MiB, 24576 MiB,11.66 W,46.5,128.79,
0 %, 3 MiB, 24576 MiB,11.78 W,49.4,129.83,
0 %, 3 MiB, 24576 MiB,12.02 W,47.4,130.87,
0 %, 3 MiB, 24576 MiB,12.10 W,44.7,131.91,
0 %, 3 MiB, 24576 MiB,11.49 W,32.5,132.95,
0 %, 3 MiB, 24576 MiB,11.72 W,36.8,133.99,
0 %, 3 MiB, 24576 MiB,11.90 W,38.5,135.02,
0 %, 3 MiB, 24576 MiB,11.51 W,16.2,136.06,
0 %, 3 MiB, 24576 MiB,11.68 W,23.5,137.1,
0 %, 3 MiB, 24576 MiB,11.28 W,45.7,138.13,
0 %, 3 MiB, 24576 MiB,11.52 W,39.9,139.17,
0 %, 3 MiB, 24576 MiB,11.42 W,51.2,140.21,
0 %, 3 MiB, 24576 MiB,11.81 W,49.6,141.25,
0 %, 3 MiB, 24576 MiB,11.25 W,43.5,142.29,
0 %, 3 MiB, 24576 MiB,11.18 W,46.7,143.33,
0 %, 3 MiB, 24576 MiB,11.67 W,44.0,144.37,
0 %, 3 MiB, 24576 MiB,11.49 W,45.0,145.41,
0 %, 3 MiB, 24576 MiB,10.93 W,46.0,146.44,
0 %, 3 MiB, 24576 MiB,11.15 W,46.4,147.48,
0 %, 3 MiB, 24576 MiB,11.20 W,54.4,148.52,
0 %, 3 MiB, 24576 MiB,11.25 W,40.1,149.57,
0 %, 3 MiB, 24576 MiB,11.26 W,37.7,150.6,
0 %, 3 MiB, 24576 MiB,10.99 W,32.7,151.64,
0 %, 3 MiB, 24576 MiB,11.36 W,24.8,152.67,
0 %, 3 MiB, 24576 MiB,10.87 W,24.1,153.71,
0 %, 3 MiB, 24576 MiB,11.86 W,27.0,154.75,
0 %, 3 MiB, 24576 MiB,11.85 W,53.1,155.8,
0 %, 3 MiB, 24576 MiB,11.28 W,43.0,156.84,
0 %, 3 MiB, 24576 MiB,11.68 W,44.7,157.88,
0 %, 3 MiB, 24576 MiB,12.28 W,43.9,158.92,
0 %, 3 MiB, 24576 MiB,12.42 W,47.8,159.96,
0 %, 3 MiB, 24576 MiB,11.49 W,45.0,160.99,
0 %, 3 MiB, 24576 MiB,11.74 W,46.5,162.03,
0 %, 3 MiB, 24576 MiB,10.86 W,48.2,163.07,
0 %, 3 MiB, 24576 MiB,11.36 W,42.9,164.11,
0 %, 3 MiB, 24576 MiB,11.17 W,42.3,165.15,
0 %, 3 MiB, 24576 MiB,11.35 W,47.3,166.19,
0 %, 3 MiB, 24576 MiB,11.31 W,42.1,167.23,
0 %, 3 MiB, 24576 MiB,11.74 W,33.8,168.27,
0 %, 3 MiB, 24576 MiB,11.21 W,30.8,169.3,
0 %, 3 MiB, 24576 MiB,11.18 W,26.3,170.34,
0 %, 3 MiB, 24576 MiB,10.89 W,20.8,171.38,
0 %, 3 MiB, 24576 MiB,11.31 W,28.2,172.42,
0 %, 3 MiB, 24576 MiB,11.48 W,25.8,173.45,
0 %, 3 MiB, 24576 MiB,12.18 W,39.1,174.49,
0 %, 3 MiB, 24576 MiB,11.60 W,43.5,175.53,
0 %, 3 MiB, 24576 MiB,11.71 W,43.1,176.57,
0 %, 3 MiB, 24576 MiB,11.75 W,33.3,177.61,
0 %, 3 MiB, 24576 MiB,12.07 W,46.0,178.64,
0 %, 3 MiB, 24576 MiB,11.44 W,43.9,179.68,
0 %, 3 MiB, 24576 MiB,11.43 W,39.2,180.72,
0 %, 3 MiB, 24576 MiB,11.25 W,50.4,181.75,
0 %, 3 MiB, 24576 MiB,11.89 W,46.9,182.79,
0 %, 3 MiB, 24576 MiB,11.46 W,44.6,183.83,
0 %, 3 MiB, 24576 MiB,11.61 W,44.5,184.86,
0 %, 3 MiB, 24576 MiB,12.10 W,31.3,185.9,
0 %, 3 MiB, 24576 MiB,12.58 W,20.2,186.94,
0 %, 3 MiB, 24576 MiB,12.32 W,23.1,187.98,
0 %, 3 MiB, 24576 MiB,12.27 W,22.7,189.01,
0 %, 3 MiB, 24576 MiB,12.29 W,23.0,190.05,
0 %, 3 MiB, 24576 MiB,11.97 W,36.8,191.09,
0 %, 3 MiB, 24576 MiB,11.98 W,47.5,192.13,
0 %, 3 MiB, 24576 MiB,10.92 W,43.4,193.17,
0 %, 3 MiB, 24576 MiB,11.62 W,43.8,194.21,
0 %, 3 MiB, 24576 MiB,11.38 W,45.4,195.25,
0 %, 3 MiB, 24576 MiB,11.69 W,43.3,196.29,
0 %, 3 MiB, 24576 MiB,11.86 W,46.0,197.32,
0 %, 3 MiB, 24576 MiB,10.89 W,47.1,198.36,
0 %, 3 MiB, 24576 MiB,10.84 W,50.0,199.4,
0 %, 3 MiB, 24576 MiB,11.83 W,44.8,200.43,
0 %, 3 MiB, 24576 MiB,10.86 W,41.5,201.47,
0 %, 3 MiB, 24576 MiB,11.73 W,42.4,202.51,
0 %, 3 MiB, 24576 MiB,11.82 W,36.0,203.55,
0 %, 3 MiB, 24576 MiB,10.88 W,33.7,204.58,
0 %, 3 MiB, 24576 MiB,11.14 W,34.2,205.62,
0 %, 3 MiB, 24576 MiB,11.27 W,24.9,206.66,
0 %, 3 MiB, 24576 MiB,11.57 W,28.3,207.7,
0 %, 3 MiB, 24576 MiB,11.33 W,42.7,208.74,
0 %, 3 MiB, 24576 MiB,11.37 W,41.8,209.78,
0 %, 3 MiB, 24576 MiB,11.80 W,52.1,210.82,
0 %, 3 MiB, 24576 MiB,11.52 W,36.5,211.86,
0 %, 3 MiB, 24576 MiB,11.67 W,41.8,212.89,
0 %, 3 MiB, 24576 MiB,11.38 W,50.8,213.93,
0 %, 3 MiB, 24576 MiB,12.03 W,43.5,214.97,
0 %, 3 MiB, 24576 MiB,11.63 W,46.9,216.0,
0 %, 3 MiB, 24576 MiB,11.83 W,47.3,217.05,
0 %, 3 MiB, 24576 MiB,11.47 W,40.0,218.09,
0 %, 3 MiB, 24576 MiB,12.28 W,41.1,219.12,
0 %, 3 MiB, 24576 MiB,12.15 W,32.5,220.16,
0 %, 3 MiB, 24576 MiB,11.76 W,29.9,221.19,
0 %, 3 MiB, 24576 MiB,11.33 W,25.0,222.22,
0 %, 3 MiB, 24576 MiB,11.16 W,28.4,223.26,
0 %, 3 MiB, 24576 MiB,11.58 W,54.8,224.3,
0 %, 3 MiB, 24576 MiB,11.46 W,43.4,225.34,
0 %, 3 MiB, 24576 MiB,11.61 W,36.5,226.38,
0 %, 3 MiB, 24576 MiB,11.75 W,44.1,227.42,
0 %, 3 MiB, 24576 MiB,12.18 W,51.1,228.45,
0 %, 3 MiB, 24576 MiB,11.93 W,39.4,229.49,
0 %, 3 MiB, 24576 MiB,11.98 W,48.8,230.53,
0 %, 3 MiB, 24576 MiB,11.71 W,41.8,231.57,
0 %, 3 MiB, 24576 MiB,11.11 W,51.0,232.61,
0 %, 3 MiB, 24576 MiB,11.69 W,47.0,233.65,
0 %, 3 MiB, 24576 MiB,11.73 W,41.1,234.69,
0 %, 3 MiB, 24576 MiB,12.01 W,40.5,235.73,
0 %, 3 MiB, 24576 MiB,11.86 W,33.4,236.77,
0 %, 3 MiB, 24576 MiB,12.01 W,16.3,237.81,
0 %, 3 MiB, 24576 MiB,11.59 W,28.5,238.84,
0 %, 3 MiB, 24576 MiB,10.75 W,27.9,239.88,
