utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
2 , 23597 MiB, 24576 MiB,58.81 W,13.1,100.77,
2 , 23597 MiB, 24576 MiB,58.90 W,13.1,101.85,
2 , 23597 MiB, 24576 MiB,58.88 W,12.6,102.95,
2 , 23597 MiB, 24576 MiB,58.97 W,12.0,104.03,
2 , 23597 MiB, 24576 MiB,58.92 W,11.5,105.11,
2 , 23597 MiB, 24576 MiB,58.83 W,9.3,106.19,
2 , 23597 MiB, 24576 MiB,58.75 W,11.1,107.27,
2 , 23597 MiB, 24576 MiB,59.14 W,12.5,108.35,
2 , 23597 MiB, 24576 MiB,58.80 W,12.0,109.43,
2 , 23597 MiB, 24576 MiB,58.99 W,12.8,110.51,
2 , 23597 MiB, 24576 MiB,58.82 W,12.1,111.59,
2 , 23597 MiB, 24576 MiB,58.80 W,12.2,112.7,
2 , 23597 MiB, 24576 MiB,58.78 W,8.8,113.78,
2 , 23597 MiB, 24576 MiB,59.06 W,9.2,114.86,
2 , 23597 MiB, 24576 MiB,58.68 W,11.2,115.95,
2 , 23597 MiB, 24576 MiB,58.67 W,12.0,117.03,
2 , 23597 MiB, 24576 MiB,58.81 W,12.2,118.13,
2 , 23597 MiB, 24576 MiB,58.85 W,12.4,119.21,
2 , 23597 MiB, 24576 MiB,58.89 W,12.4,120.3,
2 , 23597 MiB, 24576 MiB,58.92 W,11.8,121.38,
2 , 23597 MiB, 24576 MiB,58.69 W,8.9,122.46,
2 , 23597 MiB, 24576 MiB,58.84 W,9.3,123.54,
2 , 23597 MiB, 24576 MiB,58.86 W,12.3,124.62,
2 , 23597 MiB, 24576 MiB,59.07 W,14.0,125.71,
2 , 23597 MiB, 24576 MiB,59.06 W,12.6,126.81,
2 , 23597 MiB, 24576 MiB,58.84 W,12.8,127.89,
2 , 23597 MiB, 24576 MiB,58.82 W,10.8,128.97,
2 , 23597 MiB, 24576 MiB,58.92 W,9.9,130.06,
2 , 23597 MiB, 24576 MiB,59.05 W,11.8,131.14,
2 , 23597 MiB, 24576 MiB,58.95 W,13.0,132.21,
2 , 23597 MiB, 24576 MiB,58.80 W,12.7,133.29,
2 , 23597 MiB, 24576 MiB,58.81 W,13.0,134.38,
