utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,14.94 W,6.5,96.84,
0 %, 3 MiB, 24576 MiB,14.00 W,5.7,97.88,
0 %, 3 MiB, 24576 MiB,15.06 W,4.2,98.93,
0 %, 3 MiB, 24576 MiB,15.06 W,4.3,99.97,
0 %, 3 MiB, 24576 MiB,15.50 W,4.5,101.01,
0 %, 3 MiB, 24576 MiB,15.44 W,4.4,102.05,
0 %, 3 MiB, 24576 MiB,15.15 W,4.4,103.1,
0 %, 3 MiB, 24576 MiB,15.18 W,4.2,104.14,
0 %, 3 MiB, 24576 MiB,15.19 W,4.4,105.18,
0 %, 3 MiB, 24576 MiB,13.44 W,4.3,106.22,
0 %, 3 MiB, 24576 MiB,15.02 W,4.3,107.27,
0 %, 3 MiB, 24576 MiB,15.10 W,4.4,108.31,
0 %, 3 MiB, 24576 MiB,14.98 W,5.0,109.35,
0 %, 3 MiB, 24576 MiB,14.97 W,4.4,110.39,
0 %, 3 MiB, 24576 MiB,15.00 W,4.4,111.44,
0 %, 3 MiB, 24576 MiB,15.05 W,4.6,112.48,
0 %, 3 MiB, 24576 MiB,15.36 W,4.3,113.52,
0 %, 3 MiB, 24576 MiB,13.62 W,4.4,114.56,
0 %, 3 MiB, 24576 MiB,15.11 W,4.2,115.61,
0 %, 3 MiB, 24576 MiB,14.82 W,4.8,116.65,
0 %, 3 MiB, 24576 MiB,14.97 W,4.3,117.69,
0 %, 3 MiB, 24576 MiB,15.01 W,4.3,118.74,
0 %, 3 MiB, 24576 MiB,15.02 W,4.4,119.79,
0 %, 3 MiB, 24576 MiB,15.21 W,4.3,120.83,
0 %, 3 MiB, 24576 MiB,15.00 W,4.3,121.87,
0 %, 3 MiB, 24576 MiB,14.47 W,4.4,122.92,
0 %, 3 MiB, 24576 MiB,15.14 W,5.1,123.96,
0 %, 3 MiB, 24576 MiB,15.24 W,4.4,125.0,
0 %, 3 MiB, 24576 MiB,14.59 W,4.3,126.05,
0 %, 3 MiB, 24576 MiB,15.56 W,4.2,127.09,
0 %, 3 MiB, 24576 MiB,15.61 W,4.8,128.13,
0 %, 3 MiB, 24576 MiB,15.15 W,4.3,129.18,
0 %, 3 MiB, 24576 MiB,15.22 W,4.3,130.22,
0 %, 3 MiB, 24576 MiB,14.77 W,4.7,131.26,
0 %, 3 MiB, 24576 MiB,14.89 W,4.2,132.31,
0 %, 3 MiB, 24576 MiB,14.82 W,4.3,133.35,
0 %, 3 MiB, 24576 MiB,14.31 W,4.3,134.39,
0 %, 3 MiB, 24576 MiB,15.06 W,4.2,135.44,
0 %, 3 MiB, 24576 MiB,14.94 W,4.3,136.48,
0 %, 3 MiB, 24576 MiB,14.71 W,4.3,137.52,
0 %, 3 MiB, 24576 MiB,15.08 W,4.2,138.57,
0 %, 3 MiB, 24576 MiB,15.16 W,5.1,139.61,
0 %, 3 MiB, 24576 MiB,15.04 W,5.1,140.65,
0 %, 3 MiB, 24576 MiB,14.71 W,5.3,141.69,
0 %, 3 MiB, 24576 MiB,13.43 W,4.7,142.74,
0 %, 3 MiB, 24576 MiB,14.86 W,4.6,143.78,
0 %, 3 MiB, 24576 MiB,15.07 W,4.7,144.82,
0 %, 3 MiB, 24576 MiB,15.06 W,4.6,145.87,
0 %, 3 MiB, 24576 MiB,14.90 W,4.6,146.91,
0 %, 3 MiB, 24576 MiB,14.95 W,4.4,147.95,
0 %, 3 MiB, 24576 MiB,14.99 W,4.2,149.0,
0 %, 3 MiB, 24576 MiB,15.09 W,4.3,150.04,
0 %, 3 MiB, 24576 MiB,14.05 W,4.3,151.09,
0 %, 3 MiB, 24576 MiB,14.98 W,4.3,152.13,
0 %, 3 MiB, 24576 MiB,15.13 W,4.4,153.17,
0 %, 3 MiB, 24576 MiB,14.65 W,4.9,154.22,
0 %, 3 MiB, 24576 MiB,15.73 W,4.4,155.26,
0 %, 3 MiB, 24576 MiB,15.62 W,4.3,156.3,
0 %, 3 MiB, 24576 MiB,15.09 W,4.2,157.35,
0 %, 3 MiB, 24576 MiB,15.03 W,4.7,158.39,
0 %, 3 MiB, 24576 MiB,15.19 W,4.3,159.44,
0 %, 3 MiB, 24576 MiB,15.19 W,4.3,160.48,
0 %, 3 MiB, 24576 MiB,15.45 W,4.6,161.52,
0 %, 3 MiB, 24576 MiB,13.34 W,4.4,162.57,
0 %, 3 MiB, 24576 MiB,15.14 W,4.3,163.61,
0 %, 3 MiB, 24576 MiB,15.10 W,4.4,164.65,
0 %, 3 MiB, 24576 MiB,14.85 W,4.2,165.7,
0 %, 3 MiB, 24576 MiB,15.14 W,4.4,166.74,
0 %, 3 MiB, 24576 MiB,15.09 W,4.5,167.79,
0 %, 3 MiB, 24576 MiB,15.05 W,5.0,168.83,
0 %, 3 MiB, 24576 MiB,15.15 W,4.3,169.88,
0 %, 3 MiB, 24576 MiB,13.77 W,4.3,170.92,
0 %, 3 MiB, 24576 MiB,14.92 W,4.2,171.96,
0 %, 3 MiB, 24576 MiB,15.03 W,4.7,173.01,
0 %, 3 MiB, 24576 MiB,15.01 W,4.4,174.05,
0 %, 3 MiB, 24576 MiB,15.09 W,4.3,175.09,
0 %, 3 MiB, 24576 MiB,15.16 W,4.4,176.14,
0 %, 3 MiB, 24576 MiB,15.34 W,4.5,177.18,
0 %, 3 MiB, 24576 MiB,15.11 W,4.3,178.23,
0 %, 3 MiB, 24576 MiB,14.61 W,4.4,179.27,
0 %, 3 MiB, 24576 MiB,15.58 W,4.2,180.32,
0 %, 3 MiB, 24576 MiB,15.67 W,4.5,181.36,
0 %, 3 MiB, 24576 MiB,13.57 W,4.4,182.41,
0 %, 3 MiB, 24576 MiB,14.86 W,4.3,183.45,
0 %, 3 MiB, 24576 MiB,15.06 W,5.0,184.49,
0 %, 3 MiB, 24576 MiB,14.80 W,4.3,185.54,
0 %, 3 MiB, 24576 MiB,14.87 W,4.3,186.58,
0 %, 3 MiB, 24576 MiB,14.86 W,4.3,187.63,
0 %, 3 MiB, 24576 MiB,15.09 W,4.6,188.67,
0 %, 3 MiB, 24576 MiB,15.22 W,4.4,189.72,
0 %, 3 MiB, 24576 MiB,15.31 W,4.3,190.76,
0 %, 3 MiB, 24576 MiB,15.14 W,4.5,191.8,
0 %, 3 MiB, 24576 MiB,15.13 W,4.5,192.85,
0 %, 3 MiB, 24576 MiB,13.83 W,4.4,193.89,
0 %, 3 MiB, 24576 MiB,15.23 W,4.2,194.93,
0 %, 3 MiB, 24576 MiB,15.23 W,4.4,195.98,
0 %, 3 MiB, 24576 MiB,14.40 W,4.3,197.02,
0 %, 3 MiB, 24576 MiB,15.03 W,4.3,198.07,
