utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
19 %, 23633 MiB, 24576 MiB,69.29 W,10.4,99.97,
19 %, 23633 MiB, 24576 MiB,68.03 W,10.4,101.06,
20 %, 23633 MiB, 24576 MiB,67.18 W,9.9,102.16,
20 %, 23633 MiB, 24576 MiB,68.00 W,10.3,103.25,
19 %, 23633 MiB, 24576 MiB,66.51 W,9.7,104.35,
19 %, 23633 MiB, 24576 MiB,64.61 W,9.0,105.46,
19 %, 23633 MiB, 24576 MiB,66.47 W,10.4,106.56,
19 %, 23633 MiB, 24576 MiB,65.24 W,10.4,107.66,
19 %, 23633 MiB, 24576 MiB,71.99 W,10.4,108.76,
20 %, 23633 MiB, 24576 MiB,69.96 W,9.5,109.85,
20 %, 23633 MiB, 24576 MiB,68.91 W,8.8,110.94,
19 %, 23633 MiB, 24576 MiB,66.80 W,7.2,112.05,
19 %, 23633 MiB, 24576 MiB,67.21 W,10.0,113.14,
19 %, 23633 MiB, 24576 MiB,67.13 W,9.1,114.24,
19 %, 23633 MiB, 24576 MiB,66.92 W,10.8,115.34,
19 %, 23633 MiB, 24576 MiB,65.87 W,10.0,116.44,
19 %, 23633 MiB, 24576 MiB,67.19 W,9.2,117.53,
20 %, 23633 MiB, 24576 MiB,72.43 W,9.9,118.63,
20 %, 23633 MiB, 24576 MiB,71.53 W,8.3,119.72,
19 %, 23633 MiB, 24576 MiB,70.47 W,8.6,120.82,
20 %, 23633 MiB, 24576 MiB,69.29 W,10.9,121.92,
20 %, 23633 MiB, 24576 MiB,68.58 W,12.5,123.04,
18 %, 23633 MiB, 24576 MiB,70.05 W,12.9,124.14,
19 %, 23633 MiB, 24576 MiB,68.89 W,10.2,125.23,
19 %, 23633 MiB, 24576 MiB,67.79 W,11.4,126.32,
19 %, 23633 MiB, 24576 MiB,65.82 W,11.3,127.45,
18 %, 23633 MiB, 24576 MiB,68.68 W,10.7,128.54,
19 %, 23633 MiB, 24576 MiB,66.04 W,13.0,129.67,
18 %, 23633 MiB, 24576 MiB,69.16 W,12.1,130.79,
18 %, 23633 MiB, 24576 MiB,66.46 W,11.4,131.92,
19 %, 23633 MiB, 24576 MiB,72.20 W,11.1,133.01,
20 %, 23633 MiB, 24576 MiB,71.73 W,11.2,134.1,
19 %, 23633 MiB, 24576 MiB,70.39 W,11.0,135.19,
19 %, 23633 MiB, 24576 MiB,68.26 W,10.9,136.29,
18 %, 23633 MiB, 24576 MiB,67.45 W,12.4,137.38,
18 %, 23633 MiB, 24576 MiB,64.40 W,12.9,138.47,
18 %, 23633 MiB, 24576 MiB,65.49 W,12.5,139.56,
19 %, 23633 MiB, 24576 MiB,73.29 W,10.6,140.66,
19 %, 23633 MiB, 24576 MiB,72.06 W,10.6,141.75,
19 %, 23633 MiB, 24576 MiB,69.29 W,11.5,142.84,
19 %, 23633 MiB, 24576 MiB,68.45 W,7.6,143.94,
20 %, 23633 MiB, 24576 MiB,67.25 W,8.8,145.03,
20 %, 23633 MiB, 24576 MiB,67.53 W,10.1,146.12,
20 %, 23633 MiB, 24576 MiB,67.33 W,10.4,147.22,
20 %, 23633 MiB, 24576 MiB,66.68 W,10.0,148.31,
19 %, 23633 MiB, 24576 MiB,72.30 W,8.7,149.4,
19 %, 23633 MiB, 24576 MiB,71.36 W,9.5,150.49,
20 %, 23633 MiB, 24576 MiB,70.00 W,8.9,151.58,
19 %, 23633 MiB, 24576 MiB,68.06 W,7.0,152.67,
19 %, 23633 MiB, 24576 MiB,67.82 W,10.4,153.77,
19 %, 23633 MiB, 24576 MiB,66.63 W,10.3,154.86,
19 %, 23633 MiB, 24576 MiB,73.59 W,9.9,155.95,
20 %, 23633 MiB, 24576 MiB,71.99 W,10.4,157.04,
19 %, 23633 MiB, 24576 MiB,70.35 W,10.4,158.13,
20 %, 23633 MiB, 24576 MiB,69.05 W,8.4,159.24,
19 %, 23633 MiB, 24576 MiB,68.17 W,10.8,160.34,
19 %, 23633 MiB, 24576 MiB,68.30 W,7.2,161.43,
20 %, 23633 MiB, 24576 MiB,67.73 W,9.1,162.52,
20 %, 23633 MiB, 24576 MiB,67.65 W,10.0,163.61,
19 %, 23633 MiB, 24576 MiB,66.84 W,9.7,164.71,
