utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,11.58 W,10.6,96.11,
0 %, 3 MiB, 24576 MiB,11.46 W,11.4,97.14,
0 %, 3 MiB, 24576 MiB,12.26 W,10.6,98.18,
0 %, 3 MiB, 24576 MiB,11.81 W,10.6,99.21,
0 %, 3 MiB, 24576 MiB,11.66 W,10.7,100.24,
0 %, 3 MiB, 24576 MiB,11.77 W,10.6,101.28,
0 %, 3 MiB, 24576 MiB,12.42 W,10.6,102.31,
0 %, 3 MiB, 24576 MiB,11.64 W,10.7,103.34,
0 %, 3 MiB, 24576 MiB,11.49 W,10.8,104.38,
0 %, 3 MiB, 24576 MiB,12.23 W,10.7,105.41,
0 %, 3 MiB, 24576 MiB,11.91 W,10.7,106.44,
0 %, 3 MiB, 24576 MiB,11.66 W,10.7,107.47,
0 %, 3 MiB, 24576 MiB,12.09 W,11.6,108.51,
0 %, 3 MiB, 24576 MiB,11.84 W,10.8,109.54,
0 %, 3 MiB, 24576 MiB,11.94 W,10.4,110.57,
0 %, 3 MiB, 24576 MiB,11.94 W,11.1,111.61,
0 %, 3 MiB, 24576 MiB,12.08 W,11.2,112.64,
0 %, 3 MiB, 24576 MiB,11.96 W,10.7,113.67,
0 %, 3 MiB, 24576 MiB,11.52 W,12.5,114.7,
0 %, 3 MiB, 24576 MiB,10.94 W,10.7,115.74,
0 %, 3 MiB, 24576 MiB,11.34 W,10.7,116.77,
0 %, 3 MiB, 24576 MiB,11.70 W,11.0,117.81,
0 %, 3 MiB, 24576 MiB,11.19 W,10.7,118.84,
0 %, 3 MiB, 24576 MiB,11.84 W,10.8,119.87,
0 %, 3 MiB, 24576 MiB,12.01 W,10.8,120.91,
0 %, 3 MiB, 24576 MiB,11.43 W,10.8,121.94,
0 %, 3 MiB, 24576 MiB,11.75 W,10.8,122.97,
0 %, 3 MiB, 24576 MiB,11.82 W,11.5,124.0,
0 %, 3 MiB, 24576 MiB,11.59 W,11.0,125.04,
0 %, 3 MiB, 24576 MiB,11.94 W,10.6,126.07,
0 %, 3 MiB, 24576 MiB,11.75 W,11.8,127.1,
0 %, 3 MiB, 24576 MiB,11.85 W,10.8,128.13,
0 %, 3 MiB, 24576 MiB,11.75 W,11.5,129.16,
0 %, 3 MiB, 24576 MiB,11.87 W,10.9,130.2,
0 %, 3 MiB, 24576 MiB,11.47 W,10.8,131.23,
0 %, 3 MiB, 24576 MiB,11.64 W,10.7,132.26,
0 %, 3 MiB, 24576 MiB,11.77 W,10.7,133.29,
0 %, 3 MiB, 24576 MiB,11.52 W,10.5,134.32,
0 %, 3 MiB, 24576 MiB,12.03 W,10.7,135.36,
0 %, 3 MiB, 24576 MiB,11.34 W,10.8,136.39,
0 %, 3 MiB, 24576 MiB,10.94 W,10.9,137.43,
0 %, 3 MiB, 24576 MiB,11.47 W,11.1,138.45,
0 %, 3 MiB, 24576 MiB,11.66 W,11.0,139.49,
0 %, 3 MiB, 24576 MiB,10.98 W,10.8,140.52,
0 %, 3 MiB, 24576 MiB,11.91 W,10.8,141.56,
0 %, 3 MiB, 24576 MiB,11.82 W,11.6,142.59,
0 %, 3 MiB, 24576 MiB,11.23 W,10.7,143.63,
0 %, 3 MiB, 24576 MiB,11.24 W,10.8,144.66,
0 %, 3 MiB, 24576 MiB,11.54 W,10.8,145.7,
0 %, 3 MiB, 24576 MiB,11.59 W,10.7,146.73,
0 %, 3 MiB, 24576 MiB,11.54 W,10.6,147.76,
0 %, 3 MiB, 24576 MiB,11.52 W,10.8,148.8,
0 %, 3 MiB, 24576 MiB,11.69 W,10.8,149.83,
0 %, 3 MiB, 24576 MiB,11.83 W,10.7,150.86,
0 %, 3 MiB, 24576 MiB,11.40 W,10.7,151.9,
0 %, 3 MiB, 24576 MiB,12.18 W,10.7,152.93,
0 %, 3 MiB, 24576 MiB,11.65 W,11.3,153.96,
0 %, 3 MiB, 24576 MiB,11.30 W,10.6,155.0,
0 %, 3 MiB, 24576 MiB,11.97 W,10.6,156.03,
