utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
2 %, 23633 MiB, 24576 MiB,60.48 W,11.1,96.97,
2 %, 23633 MiB, 24576 MiB,59.98 W,10.8,98.03,
2 %, 23633 MiB, 24576 MiB,60.22 W,11.5,99.1,
2 %, 23633 MiB, 24576 MiB,60.09 W,11.4,100.16,
2 %, 23633 MiB, 24576 MiB,60.47 W,11.3,101.22,
2 %, 23633 MiB, 24576 MiB,60.10 W,11.1,102.29,
2 %, 23633 MiB, 24576 MiB,60.15 W,10.9,103.35,
2 %, 23633 MiB, 24576 MiB,60.44 W,10.8,104.42,
2 %, 23633 MiB, 24576 MiB,60.54 W,11.0,105.48,
2 %, 23633 MiB, 24576 MiB,60.65 W,11.0,106.54,
2 %, 23633 MiB, 24576 MiB,60.47 W,10.8,107.61,
2 %, 23633 MiB, 24576 MiB,60.33 W,10.7,108.67,
2 %, 23633 MiB, 24576 MiB,60.45 W,10.9,109.74,
2 %, 23633 MiB, 24576 MiB,60.26 W,11.1,110.8,
2 %, 23633 MiB, 24576 MiB,60.30 W,10.7,111.88,
2 %, 23633 MiB, 24576 MiB,60.53 W,11.0,112.94,
2 %, 23633 MiB, 24576 MiB,60.58 W,11.7,114.01,
2 %, 23633 MiB, 24576 MiB,60.39 W,11.7,115.07,
2 %, 23633 MiB, 24576 MiB,60.75 W,13.3,116.14,
2 %, 23633 MiB, 24576 MiB,60.67 W,12.1,117.2,
2 %, 23633 MiB, 24576 MiB,60.46 W,10.9,118.28,
2 %, 23633 MiB, 24576 MiB,60.36 W,10.9,119.34,
2 %, 23633 MiB, 24576 MiB,60.62 W,10.9,120.41,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.7,121.47,
2 %, 23633 MiB, 24576 MiB,60.41 W,10.9,122.54,
2 %, 23633 MiB, 24576 MiB,60.78 W,10.8,123.6,
2 %, 23633 MiB, 24576 MiB,60.59 W,10.9,124.66,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.8,125.73,
2 %, 23633 MiB, 24576 MiB,60.29 W,10.8,126.79,
2 %, 23633 MiB, 24576 MiB,60.26 W,10.7,127.86,
2 %, 23633 MiB, 24576 MiB,60.35 W,11.3,128.94,
2 %, 23633 MiB, 24576 MiB,60.77 W,11.0,130.0,
2 %, 23633 MiB, 24576 MiB,60.32 W,10.9,131.07,
2 %, 23633 MiB, 24576 MiB,60.62 W,11.2,132.13,
2 %, 23633 MiB, 24576 MiB,60.61 W,10.7,133.2,
2 %, 23633 MiB, 24576 MiB,60.38 W,10.8,134.26,
2 %, 23633 MiB, 24576 MiB,60.70 W,11.0,135.33,
2 %, 23633 MiB, 24576 MiB,60.56 W,10.9,136.39,
2 %, 23633 MiB, 24576 MiB,60.55 W,10.7,137.46,
