utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.15 W,15.0,99.55,
0 , 3 MiB, 24576 MiB,9.91 W,13.7,100.58,
0 , 3 MiB, 24576 MiB,9.38 W,14.8,101.62,
0 , 3 MiB, 24576 MiB,10.08 W,13.1,102.66,
0 , 3 MiB, 24576 MiB,10.13 W,16.4,103.69,
0 , 3 MiB, 24576 MiB,10.38 W,15.1,104.73,
0 , 3 MiB, 24576 MiB,9.73 W,14.6,105.76,
0 , 3 MiB, 24576 MiB,9.77 W,15.4,106.8,
0 , 3 MiB, 24576 MiB,10.11 W,15.1,107.83,
0 , 3 MiB, 24576 MiB,10.11 W,15.1,108.86,
0 , 3 MiB, 24576 MiB,9.82 W,13.8,109.9,
0 , 3 MiB, 24576 MiB,10.48 W,11.8,110.94,
0 , 3 MiB, 24576 MiB,10.60 W,14.6,111.98,
0 , 3 MiB, 24576 MiB,10.34 W,13.7,113.01,
0 , 3 MiB, 24576 MiB,9.96 W,13.8,114.05,
0 , 3 MiB, 24576 MiB,10.06 W,14.9,115.08,
0 , 3 MiB, 24576 MiB,9.87 W,13.4,116.12,
0 , 3 MiB, 24576 MiB,10.46 W,14.6,117.15,
0 , 3 MiB, 24576 MiB,10.53 W,14.8,118.19,
0 , 3 MiB, 24576 MiB,10.72 W,14.8,119.22,
0 , 3 MiB, 24576 MiB,10.27 W,13.4,120.26,
0 , 3 MiB, 24576 MiB,10.09 W,14.3,121.29,
0 , 3 MiB, 24576 MiB,10.93 W,13.7,122.33,
0 , 3 MiB, 24576 MiB,10.46 W,14.5,123.36,
0 , 3 MiB, 24576 MiB,9.86 W,14.3,124.4,
0 , 3 MiB, 24576 MiB,10.52 W,14.0,125.43,
0 , 3 MiB, 24576 MiB,10.49 W,14.0,126.47,
0 , 3 MiB, 24576 MiB,9.68 W,14.1,127.5,
0 , 3 MiB, 24576 MiB,9.82 W,13.9,128.54,
0 , 3 MiB, 24576 MiB,10.40 W,14.0,129.57,
0 , 3 MiB, 24576 MiB,10.44 W,14.3,130.61,
0 , 3 MiB, 24576 MiB,10.18 W,11.1,131.64,
0 , 3 MiB, 24576 MiB,9.56 W,14.4,132.68,
0 , 3 MiB, 24576 MiB,9.60 W,15.6,133.71,
0 , 3 MiB, 24576 MiB,9.62 W,10.9,134.75,
0 , 3 MiB, 24576 MiB,9.81 W,12.7,135.78,
0 , 3 MiB, 24576 MiB,9.84 W,14.2,136.82,
0 , 3 MiB, 24576 MiB,9.82 W,14.7,137.85,
0 , 3 MiB, 24576 MiB,9.65 W,12.3,138.89,
0 , 3 MiB, 24576 MiB,9.46 W,15.4,139.92,
0 , 3 MiB, 24576 MiB,9.44 W,12.2,140.96,
0 , 3 MiB, 24576 MiB,9.93 W,14.2,141.99,
0 , 3 MiB, 24576 MiB,9.37 W,12.8,143.03,
0 , 3 MiB, 24576 MiB,9.47 W,14.7,144.07,
0 , 3 MiB, 24576 MiB,9.58 W,14.3,145.1,
0 , 3 MiB, 24576 MiB,9.64 W,15.2,146.14,
0 , 3 MiB, 24576 MiB,10.14 W,13.2,147.17,
0 , 3 MiB, 24576 MiB,10.14 W,16.4,148.21,
0 , 3 MiB, 24576 MiB,10.02 W,13.8,149.25,
0 , 3 MiB, 24576 MiB,10.13 W,14.2,150.28,
0 , 3 MiB, 24576 MiB,10.42 W,12.7,151.32,
0 , 3 MiB, 24576 MiB,10.33 W,15.6,152.35,
0 , 3 MiB, 24576 MiB,11.07 W,11.9,153.39,
0 , 3 MiB, 24576 MiB,9.78 W,13.1,154.42,
0 , 3 MiB, 24576 MiB,10.22 W,14.5,155.46,
0 , 3 MiB, 24576 MiB,9.56 W,13.0,156.49,
0 , 3 MiB, 24576 MiB,9.54 W,15.5,157.53,
0 , 3 MiB, 24576 MiB,10.30 W,14.7,158.56,
0 , 3 MiB, 24576 MiB,9.87 W,14.4,159.6,
0 , 3 MiB, 24576 MiB,10.19 W,14.7,160.63,
0 , 3 MiB, 24576 MiB,10.03 W,12.8,161.67,
0 , 3 MiB, 24576 MiB,10.18 W,15.0,162.7,
0 , 3 MiB, 24576 MiB,10.26 W,14.7,163.74,
0 , 3 MiB, 24576 MiB,10.11 W,14.6,164.77,
0 , 3 MiB, 24576 MiB,10.00 W,11.7,165.81,
0 , 3 MiB, 24576 MiB,10.40 W,15.2,166.84,
0 , 3 MiB, 24576 MiB,10.82 W,11.4,167.88,
0 , 3 MiB, 24576 MiB,10.57 W,14.1,168.91,
0 , 3 MiB, 24576 MiB,10.59 W,14.9,169.95,
0 , 3 MiB, 24576 MiB,10.05 W,13.0,170.98,
0 , 3 MiB, 24576 MiB,10.26 W,14.8,172.02,
0 , 3 MiB, 24576 MiB,10.49 W,14.7,173.06,
0 , 3 MiB, 24576 MiB,10.29 W,13.8,174.09,
0 , 3 MiB, 24576 MiB,10.10 W,14.2,175.12,
0 , 3 MiB, 24576 MiB,10.53 W,13.9,176.16,
0 , 3 MiB, 24576 MiB,9.69 W,13.2,177.19,
0 , 3 MiB, 24576 MiB,10.09 W,15.4,178.23,
0 , 3 MiB, 24576 MiB,9.86 W,12.0,179.26,
0 , 3 MiB, 24576 MiB,10.35 W,16.2,180.3,
0 , 3 MiB, 24576 MiB,10.27 W,13.7,181.33,
0 , 3 MiB, 24576 MiB,10.38 W,15.2,182.37,
0 , 3 MiB, 24576 MiB,10.62 W,15.0,183.4,
0 , 3 MiB, 24576 MiB,10.69 W,15.0,184.44,
0 , 3 MiB, 24576 MiB,10.79 W,14.6,185.47,
0 , 3 MiB, 24576 MiB,10.81 W,11.2,186.51,
0 , 3 MiB, 24576 MiB,10.28 W,11.8,187.54,
0 , 3 MiB, 24576 MiB,10.10 W,14.2,188.58,
0 , 3 MiB, 24576 MiB,10.08 W,14.7,189.61,
0 , 3 MiB, 24576 MiB,10.18 W,13.5,190.65,
0 , 3 MiB, 24576 MiB,10.11 W,14.3,191.68,
0 , 3 MiB, 24576 MiB,10.36 W,13.0,192.72,
0 , 3 MiB, 24576 MiB,10.27 W,16.2,193.75,
0 , 3 MiB, 24576 MiB,10.40 W,13.3,194.79,
0 , 3 MiB, 24576 MiB,9.98 W,14.9,195.82,
0 , 3 MiB, 24576 MiB,9.51 W,12.2,196.86,
0 , 3 MiB, 24576 MiB,9.88 W,14.3,197.89,
0 , 3 MiB, 24576 MiB,9.81 W,14.1,198.93,
0 , 3 MiB, 24576 MiB,10.07 W,13.9,199.97,
0 , 3 MiB, 24576 MiB,9.97 W,13.6,201.0,
0 , 3 MiB, 24576 MiB,9.90 W,11.2,202.04,
0 , 3 MiB, 24576 MiB,9.50 W,14.9,203.07,
0 , 3 MiB, 24576 MiB,9.92 W,14.2,204.11,
0 , 3 MiB, 24576 MiB,9.90 W,15.1,205.14,
0 , 3 MiB, 24576 MiB,10.06 W,14.9,206.18,
0 , 3 MiB, 24576 MiB,9.93 W,14.6,207.21,
0 , 3 MiB, 24576 MiB,10.27 W,13.6,208.25,
0 , 3 MiB, 24576 MiB,9.65 W,15.3,209.29,
0 , 3 MiB, 24576 MiB,10.48 W,12.1,210.33,
0 , 3 MiB, 24576 MiB,10.63 W,13.3,211.36,
0 , 3 MiB, 24576 MiB,10.64 W,15.0,212.4,
0 , 3 MiB, 24576 MiB,10.07 W,14.0,213.44,
0 , 3 MiB, 24576 MiB,10.08 W,14.7,214.47,
0 , 3 MiB, 24576 MiB,9.70 W,14.6,215.51,
0 , 3 MiB, 24576 MiB,10.23 W,14.0,216.55,
0 , 3 MiB, 24576 MiB,9.87 W,15.5,217.58,
0 , 3 MiB, 24576 MiB,10.20 W,14.3,218.62,
0 , 3 MiB, 24576 MiB,9.78 W,13.0,219.65,
0 , 3 MiB, 24576 MiB,9.16 W,14.5,220.69,
