utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,19.14 ,6.9,101.65,
0 , 3 MiB, 11264 MiB,19.24 ,6.7,102.7,
0 , 3 MiB, 11264 MiB,19.19 ,7.0,103.77,
0 , 3 MiB, 11264 MiB,18.75 ,6.9,104.82,
0 , 3 MiB, 11264 MiB,19.29 ,6.9,105.86,
0 , 3 MiB, 11264 MiB,19.03 ,7.1,106.91,
0 , 3 MiB, 11264 MiB,19.48 ,7.2,107.98,
0 , 3 MiB, 11264 MiB,19.04 ,8.1,109.05,
0 , 3 MiB, 11264 MiB,18.86 ,7.8,110.11,
0 , 3 MiB, 11264 MiB,19.31 ,8.0,111.17,
0 , 3 MiB, 11264 MiB,18.97 ,7.0,112.22,
0 , 3 MiB, 11264 MiB,19.17 ,7.0,113.28,
0 , 3 MiB, 11264 MiB,19.00 ,7.0,114.32,
0 , 3 MiB, 11264 MiB,19.10 ,7.2,115.4,
0 , 3 MiB, 11264 MiB,19.20 ,6.8,116.47,
0 , 3 MiB, 11264 MiB,19.09 ,7.1,117.53,
0 , 3 MiB, 11264 MiB,18.96 ,7.2,118.6,
0 , 3 MiB, 11264 MiB,18.87 ,7.1,119.67,
0 , 3 MiB, 11264 MiB,18.97 ,6.9,120.74,
0 , 3 MiB, 11264 MiB,19.20 ,7.2,121.81,
0 , 3 MiB, 11264 MiB,19.11 ,6.7,122.86,
0 , 3 MiB, 11264 MiB,19.06 ,7.1,123.91,
0 , 3 MiB, 11264 MiB,19.38 ,7.9,124.97,
0 , 3 MiB, 11264 MiB,19.34 ,7.5,126.03,
0 , 3 MiB, 11264 MiB,19.08 ,6.7,127.09,
0 , 3 MiB, 11264 MiB,19.42 ,7.2,128.15,
0 , 3 MiB, 11264 MiB,18.98 ,6.9,129.21,
0 , 3 MiB, 11264 MiB,19.30 ,7.0,130.28,
0 , 3 MiB, 11264 MiB,19.29 ,6.9,131.35,
0 , 3 MiB, 11264 MiB,18.92 ,6.9,132.42,
0 , 3 MiB, 11264 MiB,19.18 ,7.0,133.49,
0 , 3 MiB, 11264 MiB,19.21 ,7.1,134.56,
0 , 3 MiB, 11264 MiB,19.14 ,7.0,135.62,
0 , 3 MiB, 11264 MiB,19.33 ,7.0,136.68,
0 , 3 MiB, 11264 MiB,19.07 ,7.3,137.75,
0 , 3 MiB, 11264 MiB,19.14 ,7.0,138.81,
0 , 3 MiB, 11264 MiB,19.33 ,9.2,139.88,
0 , 3 MiB, 11264 MiB,19.11 ,7.6,140.93,
0 , 3 MiB, 11264 MiB,19.17 ,7.1,141.99,
0 , 3 MiB, 11264 MiB,19.22 ,7.2,143.05,
