utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,10.45 W,11.6,96.32,
0 %, 3 MiB, 24576 MiB,9.42 W,12.2,97.36,
0 %, 3 MiB, 24576 MiB,9.43 W,11.8,98.39,
0 %, 3 MiB, 24576 MiB,9.47 W,12.1,99.42,
0 %, 3 MiB, 24576 MiB,9.61 W,11.6,100.46,
0 %, 3 MiB, 24576 MiB,9.76 W,12.3,101.5,
0 %, 3 MiB, 24576 MiB,9.68 W,11.8,102.54,
0 %, 3 MiB, 24576 MiB,9.41 W,11.7,103.58,
0 %, 3 MiB, 24576 MiB,9.02 W,12.0,104.62,
0 %, 3 MiB, 24576 MiB,10.64 W,11.6,105.65,
0 %, 3 MiB, 24576 MiB,9.48 W,11.9,106.69,
0 %, 3 MiB, 24576 MiB,9.77 W,11.9,107.72,
0 %, 3 MiB, 24576 MiB,9.97 W,12.1,108.76,
0 %, 3 MiB, 24576 MiB,9.78 W,11.9,109.81,
0 %, 3 MiB, 24576 MiB,9.77 W,11.9,110.84,
0 %, 3 MiB, 24576 MiB,9.72 W,11.7,111.88,
0 %, 3 MiB, 24576 MiB,9.88 W,12.2,112.92,
0 %, 3 MiB, 24576 MiB,10.31 W,11.9,113.95,
0 %, 3 MiB, 24576 MiB,9.27 W,11.9,114.99,
0 %, 3 MiB, 24576 MiB,9.32 W,12.7,116.02,
0 %, 3 MiB, 24576 MiB,9.76 W,11.7,117.07,
0 %, 3 MiB, 24576 MiB,10.27 W,12.5,118.1,
0 %, 3 MiB, 24576 MiB,10.27 W,11.6,119.14,
0 %, 3 MiB, 24576 MiB,9.72 W,12.1,120.18,
0 %, 3 MiB, 24576 MiB,9.97 W,11.8,121.22,
0 %, 3 MiB, 24576 MiB,10.04 W,11.8,122.25,
0 %, 3 MiB, 24576 MiB,10.04 W,11.8,123.29,
0 %, 3 MiB, 24576 MiB,9.89 W,11.8,124.32,
0 %, 3 MiB, 24576 MiB,10.00 W,11.6,125.35,
0 %, 3 MiB, 24576 MiB,9.78 W,11.9,126.39,
0 %, 3 MiB, 24576 MiB,9.31 W,12.1,127.42,
0 %, 3 MiB, 24576 MiB,9.66 W,11.4,128.46,
0 %, 3 MiB, 24576 MiB,9.58 W,11.8,129.49,
0 %, 3 MiB, 24576 MiB,9.65 W,12.2,130.52,
0 %, 3 MiB, 24576 MiB,9.93 W,12.1,131.56,
0 %, 3 MiB, 24576 MiB,9.73 W,11.7,132.6,
0 %, 3 MiB, 24576 MiB,9.31 W,11.9,133.63,
0 %, 3 MiB, 24576 MiB,9.36 W,11.7,134.67,
0 %, 3 MiB, 24576 MiB,9.65 W,11.8,135.71,
0 %, 3 MiB, 24576 MiB,9.74 W,11.7,136.75,
0 %, 3 MiB, 24576 MiB,10.15 W,12.0,137.78,
0 %, 3 MiB, 24576 MiB,10.04 W,11.9,138.81,
0 %, 3 MiB, 24576 MiB,9.89 W,11.9,139.85,
0 %, 3 MiB, 24576 MiB,10.23 W,11.8,140.89,
0 %, 3 MiB, 24576 MiB,9.57 W,12.0,141.92,
0 %, 3 MiB, 24576 MiB,10.20 W,12.3,142.96,
0 %, 3 MiB, 24576 MiB,10.29 W,11.9,143.99,
0 %, 3 MiB, 24576 MiB,10.71 W,11.8,145.03,
0 %, 3 MiB, 24576 MiB,10.23 W,12.5,146.07,
0 %, 3 MiB, 24576 MiB,10.13 W,11.7,147.11,
0 %, 3 MiB, 24576 MiB,10.34 W,11.7,148.14,
0 %, 3 MiB, 24576 MiB,10.29 W,11.7,149.18,
0 %, 3 MiB, 24576 MiB,10.99 W,11.8,150.21,
0 %, 3 MiB, 24576 MiB,10.20 W,11.6,151.24,
0 %, 3 MiB, 24576 MiB,9.91 W,11.8,152.28,
0 %, 3 MiB, 24576 MiB,9.79 W,12.2,153.31,
0 %, 3 MiB, 24576 MiB,10.20 W,11.7,154.35,
0 %, 3 MiB, 24576 MiB,10.41 W,11.7,155.39,
0 %, 3 MiB, 24576 MiB,9.53 W,11.9,156.42,
0 %, 3 MiB, 24576 MiB,9.33 W,11.8,157.46,
0 %, 3 MiB, 24576 MiB,10.43 W,12.0,158.5,
0 %, 3 MiB, 24576 MiB,9.87 W,11.8,159.53,
0 %, 3 MiB, 24576 MiB,10.43 W,12.6,160.57,
0 %, 3 MiB, 24576 MiB,10.60 W,16.8,161.61,
0 %, 3 MiB, 24576 MiB,10.53 W,12.4,162.64,
0 %, 3 MiB, 24576 MiB,10.44 W,12.0,163.68,
0 %, 3 MiB, 24576 MiB,10.23 W,11.5,164.72,
0 %, 3 MiB, 24576 MiB,10.22 W,11.9,165.75,
0 %, 3 MiB, 24576 MiB,9.92 W,11.8,166.79,
0 %, 3 MiB, 24576 MiB,10.30 W,11.8,167.83,
0 %, 3 MiB, 24576 MiB,10.30 W,11.7,168.87,
0 %, 3 MiB, 24576 MiB,9.77 W,11.6,169.9,
0 %, 3 MiB, 24576 MiB,9.35 W,11.8,170.95,
0 %, 3 MiB, 24576 MiB,9.73 W,11.7,171.99,
0 %, 3 MiB, 24576 MiB,9.95 W,12.3,173.02,
0 %, 3 MiB, 24576 MiB,10.37 W,11.7,174.06,
0 %, 3 MiB, 24576 MiB,10.44 W,11.8,175.09,
0 %, 3 MiB, 24576 MiB,10.11 W,12.8,176.13,
0 %, 3 MiB, 24576 MiB,10.05 W,11.8,177.17,
0 %, 3 MiB, 24576 MiB,10.56 W,12.5,178.2,
0 %, 3 MiB, 24576 MiB,10.70 W,11.8,179.24,
0 %, 3 MiB, 24576 MiB,10.18 W,11.8,180.28,
0 %, 3 MiB, 24576 MiB,10.73 W,11.7,181.31,
0 %, 3 MiB, 24576 MiB,9.99 W,11.5,182.35,
0 %, 3 MiB, 24576 MiB,9.95 W,12.0,183.39,
0 %, 3 MiB, 24576 MiB,9.88 W,12.0,184.43,
0 %, 3 MiB, 24576 MiB,10.05 W,11.7,185.47,
0 %, 3 MiB, 24576 MiB,9.85 W,11.7,186.51,
0 %, 3 MiB, 24576 MiB,9.92 W,11.9,187.54,
0 %, 3 MiB, 24576 MiB,9.83 W,12.1,188.57,
0 %, 3 MiB, 24576 MiB,9.42 W,11.6,189.61,
0 %, 3 MiB, 24576 MiB,9.94 W,12.9,190.65,
0 %, 3 MiB, 24576 MiB,9.69 W,11.8,191.69,
0 %, 3 MiB, 24576 MiB,10.07 W,11.6,192.72,
0 %, 3 MiB, 24576 MiB,9.74 W,11.8,193.76,
0 %, 3 MiB, 24576 MiB,9.69 W,11.5,194.8,
0 %, 3 MiB, 24576 MiB,10.20 W,11.9,195.83,
0 %, 3 MiB, 24576 MiB,9.73 W,11.8,196.87,
0 %, 3 MiB, 24576 MiB,9.57 W,11.8,197.91,
0 %, 3 MiB, 24576 MiB,9.99 W,12.1,198.95,
0 %, 3 MiB, 24576 MiB,10.02 W,11.7,199.98,
0 %, 3 MiB, 24576 MiB,10.26 W,11.7,201.02,
0 %, 3 MiB, 24576 MiB,10.00 W,11.9,202.05,
0 %, 3 MiB, 24576 MiB,10.14 W,11.7,203.08,
0 %, 3 MiB, 24576 MiB,10.42 W,12.3,204.12,
0 %, 3 MiB, 24576 MiB,10.15 W,12.0,205.17,
0 %, 3 MiB, 24576 MiB,10.67 W,12.5,206.2,
0 %, 3 MiB, 24576 MiB,10.08 W,11.8,207.24,
0 %, 3 MiB, 24576 MiB,10.24 W,11.6,208.27,
0 %, 3 MiB, 24576 MiB,10.35 W,11.7,209.31,
0 %, 3 MiB, 24576 MiB,10.16 W,12.0,210.34,
0 %, 3 MiB, 24576 MiB,10.40 W,11.7,211.38,
0 %, 3 MiB, 24576 MiB,9.95 W,11.6,212.42,
0 %, 3 MiB, 24576 MiB,10.10 W,11.9,213.45,
0 %, 3 MiB, 24576 MiB,10.07 W,11.6,214.48,
0 %, 3 MiB, 24576 MiB,9.99 W,12.0,215.52,
0 %, 3 MiB, 24576 MiB,10.32 W,11.6,216.56,
0 %, 3 MiB, 24576 MiB,10.50 W,11.9,217.6,
0 %, 3 MiB, 24576 MiB,10.10 W,12.3,218.64,
0 %, 3 MiB, 24576 MiB,10.30 W,11.7,219.68,
0 %, 3 MiB, 24576 MiB,9.72 W,12.4,220.72,
0 %, 3 MiB, 24576 MiB,10.21 W,11.9,221.76,
0 %, 3 MiB, 24576 MiB,10.34 W,11.9,222.8,
0 %, 3 MiB, 24576 MiB,10.32 W,11.7,223.83,
0 %, 3 MiB, 24576 MiB,10.16 W,11.9,224.87,
0 %, 3 MiB, 24576 MiB,10.15 W,11.8,225.9,
0 %, 3 MiB, 24576 MiB,10.43 W,11.8,226.94,
0 %, 3 MiB, 24576 MiB,10.42 W,11.7,227.98,
0 %, 3 MiB, 24576 MiB,10.88 W,12.1,229.02,
0 %, 3 MiB, 24576 MiB,10.36 W,11.9,230.05,
0 %, 3 MiB, 24576 MiB,10.16 W,11.8,231.09,
0 %, 3 MiB, 24576 MiB,10.37 W,11.7,232.13,
0 %, 3 MiB, 24576 MiB,10.17 W,11.9,233.17,
0 %, 3 MiB, 24576 MiB,10.28 W,12.2,234.21,
0 %, 3 MiB, 24576 MiB,10.10 W,11.8,235.24,
0 %, 3 MiB, 24576 MiB,10.05 W,12.3,236.28,
0 %, 3 MiB, 24576 MiB,10.05 W,11.7,237.32,
0 %, 3 MiB, 24576 MiB,9.95 W,12.5,238.35,
0 %, 3 MiB, 24576 MiB,10.67 W,11.6,239.39,
0 %, 3 MiB, 24576 MiB,10.15 W,11.7,240.43,
0 %, 3 MiB, 24576 MiB,10.20 W,11.8,241.46,
0 %, 3 MiB, 24576 MiB,9.93 W,11.8,242.5,
0 %, 3 MiB, 24576 MiB,9.96 W,12.1,243.53,
0 %, 3 MiB, 24576 MiB,10.36 W,11.9,244.57,
0 %, 3 MiB, 24576 MiB,10.22 W,11.6,245.61,
0 %, 3 MiB, 24576 MiB,10.41 W,11.8,246.65,
0 %, 3 MiB, 24576 MiB,10.68 W,12.0,247.68,
0 %, 3 MiB, 24576 MiB,9.58 W,11.8,248.72,
0 %, 3 MiB, 24576 MiB,9.65 W,12.2,249.76,
0 %, 3 MiB, 24576 MiB,9.69 W,12.6,250.79,
0 %, 3 MiB, 24576 MiB,10.31 W,11.9,251.83,
0 %, 3 MiB, 24576 MiB,10.43 W,11.8,252.87,
0 %, 3 MiB, 24576 MiB,9.94 W,11.7,253.91,
0 %, 3 MiB, 24576 MiB,9.90 W,11.7,254.94,
0 %, 3 MiB, 24576 MiB,10.16 W,11.8,255.98,
0 %, 3 MiB, 24576 MiB,10.59 W,11.9,257.01,
0 %, 3 MiB, 24576 MiB,10.41 W,11.8,258.05,
0 %, 3 MiB, 24576 MiB,10.37 W,12.0,259.09,
0 %, 3 MiB, 24576 MiB,10.61 W,11.8,260.13,
0 %, 3 MiB, 24576 MiB,10.31 W,11.7,261.17,
0 %, 3 MiB, 24576 MiB,10.56 W,11.8,262.2,
0 %, 3 MiB, 24576 MiB,10.64 W,11.7,263.23,
0 %, 3 MiB, 24576 MiB,10.23 W,12.0,264.27,
0 %, 3 MiB, 24576 MiB,10.57 W,11.7,265.31,
0 %, 3 MiB, 24576 MiB,9.78 W,12.8,266.35,
0 %, 3 MiB, 24576 MiB,9.80 W,11.8,267.38,
0 %, 3 MiB, 24576 MiB,9.62 W,11.8,268.42,
0 %, 3 MiB, 24576 MiB,10.39 W,11.8,269.46,
0 %, 3 MiB, 24576 MiB,10.27 W,11.6,270.5,
0 %, 3 MiB, 24576 MiB,10.00 W,12.2,271.53,
0 %, 3 MiB, 24576 MiB,10.14 W,11.7,272.57,
0 %, 3 MiB, 24576 MiB,9.76 W,11.8,273.61,
0 %, 3 MiB, 24576 MiB,9.70 W,12.2,274.64,
0 %, 3 MiB, 24576 MiB,10.32 W,11.8,275.68,
0 %, 3 MiB, 24576 MiB,10.31 W,12.0,276.72,
0 %, 3 MiB, 24576 MiB,10.03 W,11.9,277.76,
0 %, 3 MiB, 24576 MiB,9.84 W,12.0,278.79,
0 %, 3 MiB, 24576 MiB,9.84 W,12.3,279.83,
